feature,mean_abs_shap,mean_signed_shap
Rotational speed (rpm),0.07909393728530259,-0.06378835826528664
Cooling load index,0.06726491047380456,-0.056720939649460365
Mechanical power (W),0.06695721418987444,-0.06334382906027027
Wear x torque strain,0.06376419516328032,-0.05915761035343665
Torque per rpm,0.060900455016280844,-0.052796771325982116
Tool wear (min),0.05898647370972939,-0.0457111396182285
Temp differential (K),0.051288918361621805,-0.04137755457996892
Torque (Nm),0.04807686827439095,-0.04360826622002838
Air temp (K),0.018267348510408517,-0.016661530532611133
Process temp (K),0.012419168541126527,-0.012265709374802924
Machine type = M,0.003284115714292869,-0.003071608508760009
Machine type = H,0.0013105489001920718,-0.00129919397713492
